post_message,label
chống nắng quá đà người phụ nữ lăn qua lăn lại trên giường cũng gãy xương trung quốc long shuang bác sĩ khoa cấp cứu bệnh viện y học cổ truyền xindu tp thành đô tỉnh tứ xuyên mới đây đã chia sẻ về một ca bệnh gãy xương do chống nắng quá mức suốt thời gian dài,1
ngôi làng thu hơn 72 tỷ đồng mỗi năm nhờ bán thứ tìm thấy bên sông trung quốc người dân trong một ngôi làng nhỏ bên bờ sông dương tử tứ xuyên có thể thu về hàng chục triệu tệ mỗi năm nhờ bán đá cuội nhặt bên sông,1
người phụ nữ bị kiện vì thường xuyên cho mèo nhà hàng xóm ăn thụy sĩ một người phụ nữ ở zurich mới đây đã bị kiện vì thường xuyên cho mèo nhà hàng xóm ăn trong suốt 10 tháng với ý định mua chuộc con vật,1
máy bay gặp mưa đá lại va phải chim hành khách hoảng loạn ấn độ điều kiện thời tiết bất lợi cùng tác động ngoại cảnh khiến một máy bay của hãng hàng không indigo bị hư hại nghiêm trọng trên đường từ delhi đến srinagar,1
người phụ nữ bất ngờ nhặt được cả mớ vàng trên ruộng sắn thái lan một người phụ nữ ở huyện sao hai tỉnh saraburi đã rất vui mừng sau khi biết những mẩu kim loại bà tình cờ nhặt được trong lúc nhổ cỏ trên ruộng sắn là vàng thật,1
đi hái sầu riêng 2 em nhỏ tử vong đầy bí ẩn indonesia cảnh sát bất ngờ phát hiện thi thể 2 em nhỏ trong một khe núi gần vườn sầu riêng ở dusun teba langgar pesisir utara tỉnh lampung sumatra,1
cả nhà khóc nghẹn khi phát hiện người trong quan tài không phải người thân mỹ gia đình đau đớn phát hiện thi thể trong quan tài không phải là người thân đó là một người hoàn toàn xa lạ mặc chính bộ vest mà họ đã chuẩn bị để tiễn biệt người quá cố,1
huyện miền núi hà tĩnh có báu vật trị giá trăm tỷ dân làng cùng nhau canh giữ hai cây dó trầm có tuổi đời hơn 200 năm được các thương lái định giá trăm tỷ đồng tuy nhiên người dân ở xã hương thủy hương khê hà tĩnh kiên quyết bảo vệ canh giữ và xem đó là báu vật của làng,1
tư thế ngủ kỳ lạ của nam hành khách trên máy bay gây tranh cãi đoạn video ghi lại cảnh một nam hành khách có tư thế ngủ kỳ lạ trên chuyến bay của hãng hàng không ryanair mới đây đã gây ra nhiều tranh cãi trên mạng xã hội,1
bé trai 2 tuổi sống sót kỳ diệu sau khi ngã từ tầng 15 của chung cư mỹ một bé trai 2 tuổi ở montgomery bang maryland đã may mắn sống sót sau khi ngã từ ban công tầng 15 của một khu chung cư,1
cả làng ở nghệ an kéo đến xem cặp nhung nai gần 100 triệu đồng anh nông dân ở nghệ an vừa cắt cặp nhung nai với giá hơn 93 triệu đồng cả làng ở xã quỳnh tân huyện quỳnh lưu nghệ an kéo đến xem và chúc mừng chủ nhân,1
phi công ngất xỉu máy bay chở gần 200 hành khách không có người điều khiển kết quả cuộc điều tra được công bố mới đây cho biết một sự cố hàng không nghiêm trọng đã xảy ra trên một chuyến bay của hãng hàng không lufthansa,1
tố gia đình triệu phú quỵt tiền bữa tối nhà hàng trả giá đắt anh tưởng thực khách ăn chùa chạy làng nhà hàng đăng video tố cáo trên mạng xã hội tuy nhiên sự thật cuối cùng khiến họ chịu tổn thất khách là một triệu phú sự cố xảy ra do sai lầm của nhân viên,1
mua vé số cào đúng ngày sinh nhật người phụ nữ trúng 130 tỷ đồng mỹ một người phụ nữ ở miền nam kentucky mới đây đã phá kỷ lục hạng mục xổ số cào của bang này khi trúng tới 5 triệu usd 130 tỷ đồng vào đúng ngày sinh nhật của mình,1
tiết lộ đáng sợ của tiến sĩ anh về việc phơi quần áo trong nhà anh phơi quần áo trong nhà là lựa chọn của nhiều người trong điều kiện thời tiết lạnh giá hoặc trời nồm tuy nhiên cách làm này liệu có hợp lý đúng đắn,1
cảnh sống khó tin ở làng nhiều cái không kẹt giữa quảng nam và kon tum suốt 3 thập kỷ qua hơn 1 000 người dân ở thôn 3 xã trà vinh huyện nam trà my quảng nam phải sống lay lắt trên đất của tỉnh kon tum,1
đang yên ổn người đàn ông bất ngờ bị vợ bỏ chỉ vì bã cà phê hy lạp một phụ nữ mới đây đệ đơn ly hôn chồng sau 12 năm chung sống vì tin lời phán của một phần mềm trí tuệ nhân tạo ai rằng anh này đang ngoại tình,1
cô dâu mất số vàng 670 triệu đồng ngay vào ngày cưới thủ phạm không ai ngờ ấn độ bí ẩn vụ trộm túi trang sức bằng vàng của một cô dâu ở karivellur gây xôn xao dư luận thời gian qua cuối cùng cũng có lời giải,1
phanh máy bay bốc cháy vì sai lầm ngớ ngẩn của phi công anh nguyên nhân thực sự khiến một máy bay của hãng hàng không british airways buộc phải hủy cất cánh khẩn cấp vì phanh bốc cháy trên đường băng sân bay gatwick ở london vào cuối tháng 6 năm ngoái mới được hé lộ gần đây,1
2 khách đòi hoàn tiền sau khi ăn hết quả sầu riêng chủ quán bực tức nghe lý do malaysia sau khi ăn hết quả sầu riêng 2 du khách phàn nàn chê bai và đòi chủ quán trả lại tiền,1
mẹ tá hoả khi con trai 8 tuổi đặt mua 30 thùng kẹo mút giá hơn 100 triệu đồng mỹ một cậu bé 8 tuổi ở bang kentucky đã bí mật dùng điện thoại của mẹ và đặt mua tới 30 thùng kẹo mút trên một trang thương mại điện tử,1
chồng bỏ quên vợ vô tư phóng ô tô đi mất hút italia vì tưởng vợ vẫn nằm ngủ ở ghế sau người chồng vô tư phóng ô tô đi mất để quên vợ bên lề đường,1
người đàn ông trúng giải hơn trăm tỷ đồng tiết lộ điều bất ngờ về dãy số malaysia một người đàn ông ở selangor bất ngờ trở thành người trúng giải thưởng lớn nhất trong lịch sử xổ số jackpot 1 3d,1
cô gái chỉ chiêu độc lạ tránh camera giấu kín trong khách sạn trung quốc cô gái tìm ra phương pháp đơn giản và hiệu quả để bảo vệ quyền riêng tư tránh camera giấu kín khi ở khách sạn,1
